service_id,date,exception_type
7032,20151125,2
1089685,20151125,2
2221060,20151125,2
7032,20151126,2
1089685,20151126,2
2221060,20151126,2
7032,20151127,2
1089685,20151127,2
2221060,20151127,2
7032,20151224,2
1089685,20151224,2
2221060,20151224,2
7032,20151225,2
1089685,20151225,2
2221060,20151225,2
7032,20151231,2
1089685,20151231,2
2221060,20151231,2
7032,20160101,2
1089685,20160101,2
2221060,20160101,2
7032,20160118,2
1089685,20160118,2
2221060,20160118,2
